Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2022);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
1038;18100156704;"International Review of Law, Computers and Technology";journal;"13600869, 13646885";0,435;Q3;19;27;60;1291;121;54;2,07;47,81;47,92;1;9;United Kingdom;Western Europe;"Routledge";"1984, 1986-1987, 1989, 1991-1995, 2009-2023";"Law (Q1); Computer Science Applications (Q3)";"Computer Science; Social Sciences"
1039;147225;"Computers in the Schools";journal;"07380569, 15287033";0,432;Q2;37;24;46;1322;94;43;1,30;55,08;53,95;1;11;United States;Northern America;"Routledge";"1984-1997, 1999, 2001-2023";"Computer Science (miscellaneous) (Q2); Education (Q2); Library and Information Sciences (Q2)";"Computer Science; Social Sciences"
1040;19700187807;"Information Security Journal";journal;"19393555, 19393547";0,432;Q3;32;41;65;2081;211;65;3,29;50,76;26,51;1;4;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2008-2023";"Information Systems and Management (Q2); Computer Science Applications (Q3); Software (Q3)";"Computer Science; Decision Sciences"
1041;21100463939;"Journal of Engineering (United Kingdom)";journal;"23144912, 23144904";0,432;Q3;34;62;79;2034;248;79;3,38;32,81;22,28;0;19;Egypt;Africa/Middle East;"Hindawi Limited";"2013-2023";"Chemical Engineering (miscellaneous) (Q2); Electrical and Electronic Engineering (Q2); Industrial and Manufacturing Engineering (Q2); Mechanical Engineering (Q2); Civil and Structural Engineering (Q3); Hardware and Architecture (Q3)";"Chemical Engineering; Computer Science; Engineering"
1042;21100897522;"i-com";journal;"21966826, 1618162X";0,431;Q3;12;28;68;906;137;61;2,17;32,36;39,84;0;7;Germany;Western Europe;"De Gruyter Oldenbourg";"2001-2023";"Business, Management and Accounting (miscellaneous) (Q2); Communication (Q2); Computer Networks and Communications (Q3); Human-Computer Interaction (Q3); Information Systems (Q3); Social Psychology (Q3)";"Business, Management and Accounting; Computer Science; Psychology; Social Sciences"
1043;6100153106;"IET Signal Processing";journal;"17519675, 17519683";0,431;Q3;51;88;232;3154;517;232;2,28;35,84;29,70;0;4;United Kingdom;Western Europe;"John Wiley &amp; Sons Inc.";"2007-2023";"Electrical and Electronic Engineering (Q2); Signal Processing (Q3)";"Computer Science; Engineering"
1044;24175;"Constraints";journal;"15729354, 13837133";0,429;Q3;48;16;27;593;39;25;1,50;37,06;17,50;0;0;Netherlands;Western Europe;"Springer Netherlands";"1996-2023";"Artificial Intelligence (Q3); Computational Theory and Mathematics (Q3); Discrete Mathematics and Combinatorics (Q3); Software (Q3)";"Computer Science; Mathematics"
1045;12931;"Cybernetics and Systems";journal;"10876553, 01969722";0,428;Q3;47;117;122;4139;282;116;2,27;35,38;29,32;0;28;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1980-2023";"Artificial Intelligence (Q3); Information Systems (Q3); Software (Q3)";"Computer Science"
1046;21100900308;"Intelligenza Artificiale";journal;"17248035, 22110097";0,427;Q3;7;12;39;529;63;35;1,87;44,08;17,65;0;1;Netherlands;Western Europe;"IOS Press BV";"2018-2023";"Artificial Intelligence (Q3)";"Computer Science"
1047;12000154489;"International Journal of Innovative Computing, Information and Control";journal;"13494198";0,426;Q3;55;134;448;3535;645;448;1,46;26,38;27,46;0;16;Japan;Asiatic Region;"IJICIC Editorial Office";"2007-2023";"Computational Theory and Mathematics (Q3); Information Systems (Q3); Software (Q3); Theoretical Computer Science (Q3)";"Computer Science; Mathematics"
1048;21100896466;"International Journal of Service Science, Management, Engineering, and Technology";journal;"19479603, 1947959X";0,426;Q2;19;46;110;2925;340;110;2,84;63,59;21,65;0;11;United States;Northern America;"IGI Global Publishing";"2014, 2017-2023";"Business, Management and Accounting (miscellaneous) (Q2); Computer Science (miscellaneous) (Q2); Engineering (miscellaneous) (Q2); Multidisciplinary (Q2)";"Business, Management and Accounting; Computer Science; Engineering; Multidisciplinary"
1049;21100857591;"ACM Transactions on Spatial Algorithms and Systems";journal;"23740361, 23740353";0,425;Q3;18;33;78;1750;135;74;2,18;53,03;15,87;1;18;United States;Northern America;"Association for Computing Machinery (ACM)";"2015-2023";"Geometry and Topology (Q2); Computer Science Applications (Q3); Discrete Mathematics and Combinatorics (Q3); Information Systems (Q3); Modeling and Simulation (Q3); Signal Processing (Q3)";"Computer Science; Mathematics"
1050;21101017705;"Frontiers in Mechanical Engineering";journal;"22973079";0,425;Q3;27;129;280;6508;750;266;2,46;50,45;27,31;2;32;Switzerland;Western Europe;"Frontiers Media SA";"2015-2023";"Industrial and Manufacturing Engineering (Q2); Materials Science (miscellaneous) (Q2); Mechanical Engineering (Q2); Computer Science Applications (Q3)";"Computer Science; Engineering; Materials Science"
1051;19700188366;"Gyroscopy and Navigation";journal;"20751109, 20751087";0,425;Q2;24;30;104;927;157;104;1,54;30,90;20,83;0;3;United States;Northern America;"Pleiades Publishing";"2010-2023";"Computer Science (miscellaneous) (Q2); Control and Systems Engineering (Q2); Electrical and Electronic Engineering (Q2)";"Computer Science; Engineering"
1052;26738;"Microsystem Technologies";journal;"09467076";0,425;Q3;74;254;1220;7949;2895;1194;2,34;31,30;26,57;0;42;Germany;Western Europe;"Springer Verlag";"1994-2023";"Condensed Matter Physics (Q2); Electrical and Electronic Engineering (Q2); Electronic, Optical and Magnetic Materials (Q3); Hardware and Architecture (Q3); Nanoscience and Nanotechnology (Q3)";"Computer Science; Engineering; Materials Science; Physics and Astronomy"
1053;21100943271;"Trudy Instituta Matematiki i Mekhaniki UrO RAN";journal;"26584786, 01344889";0,425;Q3;9;89;273;1429;145;273;0,56;16,06;36,72;0;3;Russian Federation;Eastern Europe;"Krasovskii Institute of Mathematics and Mechanics of the Ural Branch of Russian Academy of Sciences";"2019-2023";"Computational Mechanics (Q2); Mathematics (miscellaneous) (Q2); Applied Mathematics (Q3); Computer Science Applications (Q3)";"Computer Science; Engineering; Mathematics"
1054;21100301602;"Journal of Robotics";journal;"16879600, 16879619";0,424;Q2;23;57;106;1741;267;105;2,27;30,54;33,55;0;8;Egypt;Africa/Middle East;"Hindawi Limited";"2012-2023";"Computer Science (miscellaneous) (Q2); Control and Systems Engineering (Q2)";"Computer Science; Engineering"
1055;21100204505;"Australasian Journal of Information Systems";journal;"14498618, 13262238";0,423;Q3;29;24;120;1865;229;119;1,85;77,71;40,30;0;6;Australia;Pacific Region;"UQ Business School, The University of Queensland";"2007, 2009-2023";"Business, Management and Accounting (miscellaneous) (Q2); Information Systems and Management (Q2); Human-Computer Interaction (Q3); Information Systems (Q3)";"Business, Management and Accounting; Computer Science; Decision Sciences"
1056;24621;"Journal of Molecular Graphics and Modelling";journal;"10933263, 18734243";0,423;Q2;84;218;678;12233;1948;678;3,06;56,11;33,29;0;65;United States;Northern America;"Elsevier Inc.";"1997-2024";"Computer Graphics and Computer-Aided Design (Q2); Materials Chemistry (Q2); Physical and Theoretical Chemistry (Q3); Spectroscopy (Q3)";"Chemistry; Computer Science; Materials Science"
1057;17963;"International Journal of Circuit Theory and Applications";journal;"1097007X, 00989886";0,422;Q3;56;258;524;8499;1277;500;2,37;32,94;19,91;0;59;United Kingdom;Western Europe;"John Wiley and Sons Ltd";"1973-2023";"Electrical and Electronic Engineering (Q2); Applied Mathematics (Q3); Computer Science Applications (Q3); Electronic, Optical and Magnetic Materials (Q3)";"Computer Science; Engineering; Materials Science; Mathematics"
1058;26802;"International Journal of Speech Technology";journal;"13812416, 15728110";0,422;Q3;39;83;268;2762;718;266;2,68;33,28;29,56;0;5;Netherlands;Western Europe;"Springer Netherlands";"1995, 1997-2023";"Linguistics and Language (Q1); Computer Vision and Pattern Recognition (Q3); Human-Computer Interaction (Q3); Software (Q3)";"Computer Science; Social Sciences"
1059;96537;"Proceedings of the International Joint Conference on Neural Networks";conference and proceedings;"-";0,422;-;98;1091;3108;36192;5296;3103;1,49;33,17;25,24;0;104;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"1992-1993, 1999-2003, 2005, 2008-2023";"Artificial Intelligence; Software";"Computer Science"
1060;23792;"Computer Journal";journal;"14602067, 00104620";0,421;Q2;72;201;379;7855;756;378;1,82;39,08;29,56;0;31;United Kingdom;Western Europe;"Oxford University Press";"1967-2023";"Computer Science (miscellaneous) (Q2)";"Computer Science"
1061;12367;"Photogrammetric Record";journal;"14779730, 0031868X";0,421;Q3;57;56;116;824;128;62;1,15;14,71;22,50;0;4;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1953-2023";"Computers in Earth Sciences (Q2); Earth and Planetary Sciences (miscellaneous) (Q2); Engineering (miscellaneous) (Q2); Computer Science Applications (Q3)";"Computer Science; Earth and Planetary Sciences; Engineering"
1062;21100195304;"Procesamiento del Lenguaje Natural";journal;"19897553, 11355948";0,421;Q3;22;39;129;1050;158;129;1,77;26,92;30,14;0;6;Spain;Western Europe;"Sociedad Espanola para el Procesamiento del Lenguaje Natural";"2011-2023";"Linguistics and Language (Q1); Computer Science Applications (Q3)";"Computer Science; Social Sciences"
1063;19700186817;"Queue";journal;"15427730, 15427749";0,420;Q2;48;35;131;272;131;115;0,87;7,77;21,43;1;2;United States;Northern America;"Association for Computing Machinery (ACM)";"2003-2023";"Computer Science (miscellaneous) (Q2)";"Computer Science"
1064;21100244214;"Journal of Control, Automation and Electrical Systems";journal;"21953880, 21953899";0,418;Q3;29;148;368;4664;764;368;2,09;31,51;12,36;1;48;United States;Northern America;"Springer Science + Business Media";"2013-2023";"Control and Systems Engineering (Q2); Electrical and Electronic Engineering (Q2); Computer Science Applications (Q3); Energy Engineering and Power Technology (Q3)";"Computer Science; Energy; Engineering"
1065;28360;"Journal of Object Technology";journal;"16601769";0,418;Q3;39;30;90;1399;129;88;1,19;46,63;21,35;0;0;Switzerland;Western Europe;"Journal of Object Technology";"2002-2023";"Software (Q3)";"Computer Science"
1066;26941;"Theory and Decision";journal;"15737187, 00405833";0,417;Q3;46;60;140;2324;108;137;0,63;38,73;30,60;2;6;Netherlands;Western Europe;"Springer Netherlands";"1970-2023";"Arts and Humanities (miscellaneous) (Q2); Economics, Econometrics and Finance (miscellaneous) (Q2); Social Sciences (miscellaneous) (Q2); Applied Psychology (Q3); Computer Science Applications (Q3); Decision Sciences (miscellaneous) (Q3); Developmental and Educational Psychology (Q3)";"Arts and Humanities; Computer Science; Decision Sciences; Economics, Econometrics and Finance; Psychology; Social Sciences"
1067;13706;"Proceedings of the Data Compression Conference";conference and proceedings;"10680314";0,415;-;56;87;265;787;402;262;1,59;9,05;28,40;0;0;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"1991-2023";"Computer Networks and Communications";"Computer Science"
1068;25509;"Information and Computation";journal;"10902651, 08905401";0,413;Q3;81;156;228;5186;218;217;0,99;33,24;17,45;0;0;United States;Northern America;"Elsevier Inc.";"1987-2023";"Computational Theory and Mathematics (Q3); Computer Science Applications (Q3); Information Systems (Q3); Theoretical Computer Science (Q3)";"Computer Science; Mathematics"
1069;24801;"Molecular Simulation";journal;"08927022, 10290435";0,412;Q3;68;145;460;7677;998;453;2,11;52,94;28,63;0;38;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1987-2023";"Chemical Engineering (miscellaneous) (Q2); Chemistry (miscellaneous) (Q2); Condensed Matter Physics (Q3); Information Systems (Q3); Materials Science (miscellaneous) (Q3); Modeling and Simulation (Q3)";"Chemical Engineering; Chemistry; Computer Science; Materials Science; Mathematics; Physics and Astronomy"
1070;21100853738;"ROBOMECH Journal";journal;"21974225";0,411;Q3;19;24;85;692;164;85;1,48;28,83;8,54;0;1;Switzerland;Western Europe;"Springer International Publishing AG";"2014-2023";"Mechanical Engineering (Q2); Artificial Intelligence (Q3); Control and Optimization (Q3); Instrumentation (Q3); Modeling and Simulation (Q3)";"Computer Science; Engineering; Mathematics; Physics and Astronomy"
1071;21100394784;"International Journal of Interactive Mobile Technologies";journal;"18657923";0,409;Q3;36;296;743;11242;1895;742;2,70;37,98;42,93;0;99;Austria;Western Europe;"International Association of Online Engineering";"2010, 2014-2023";"Computer Networks and Communications (Q3); Computer Science Applications (Q3); E-learning (Q3)";"Computer Science; Social Sciences"
1072;23678;"Artificial Intelligence for Engineering Design, Analysis and Manufacturing: AIEDAM";journal;"08900604, 14691760";0,408;Q3;58;35;106;2101;268;100;2,42;60,03;19,83;0;6;United Kingdom;Western Europe;"Cambridge University Press";"1987-2023";"Industrial and Manufacturing Engineering (Q2); Artificial Intelligence (Q3)";"Computer Science; Engineering"
1073;21100448516;"Journal of Information Technology Education: Innovations in Practice";journal;"2165316X, 21653151";0,408;Q2;15;7;23;417;52;23;1,21;59,57;60,00;0;2;United States;Northern America;"Informing Science Institute";"2015-2023";"Computer Science (miscellaneous) (Q2); Education (Q2)";"Computer Science; Social Sciences"
1074;144815;"Computational Management Science";journal;"1619697X, 16196988";0,407;Q3;40;26;84;1068;106;78;1,06;41,08;29,58;1;5;Germany;Western Europe;"Springer Science and Business Media Deutschland GmbH";"2005-2023";"Business, Management and Accounting (miscellaneous) (Q2); Management Information Systems (Q2); Information Systems (Q3); Management Science and Operations Research (Q3); Statistics, Probability and Uncertainty (Q3)";"Business, Management and Accounting; Computer Science; Decision Sciences"
1075;19700177026;"IEEE Embedded Systems Letters";journal;"19430663";0,407;Q2;33;51;118;650;173;115;1,63;12,75;17,88;0;9;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"2009-2023";"Computer Science (miscellaneous) (Q2); Control and Systems Engineering (Q3)";"Computer Science; Engineering"
1076;19700201511;"Interdisciplinary Journal of Information, Knowledge, and Management";journal;"15551237, 15551229";0,406;Q2;30;24;48;1839;177;48;1,87;76,63;42,11;1;8;United States;Northern America;"Informing Science Institute";"2006-2023";"Computer Science (miscellaneous) (Q2); Information Systems and Management (Q2)";"Computer Science; Decision Sciences"
1077;14363;"INFOR";journal;"03155986, 19160615";0,405;Q3;37;17;77;842;105;74;1,39;49,53;30,00;0;3;Canada;Northern America;"Taylor and Francis Ltd.";"1971-1989, 1996-2023";"Computer Science Applications (Q3); Information Systems (Q3); Signal Processing (Q3)";"Computer Science"
1078;19600157217;"International Journal of Intelligent Transportation Systems Research";journal;"18688659";0,405;Q3;24;62;106;1874;264;106;2,36;30,23;19,89;1;40;Germany;Western Europe;"Springer Verlag";"2010-2023";"Aerospace Engineering (Q2); Automotive Engineering (Q2); Applied Mathematics (Q3); Computer Science Applications (Q3); Control and Systems Engineering (Q3); Information Systems (Q3); Neuroscience (miscellaneous) (Q3); Software (Q3)";"Computer Science; Engineering; Mathematics; Neuroscience"
1079;24282;"Proceedings - International Conference on Pattern Recognition";conference and proceedings;"10514651";0,405;-;120;720;1411;25646;2529;1408;1,79;35,62;25,12;0;47;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020-2022";"Computer Vision and Pattern Recognition";"Computer Science"
1080;69957;"Proceedings of the International Conference on Parallel and Distributed Systems - ICPADS";conference and proceedings;"15219097";0,405;-;46;0;362;0;387;353;0,71;0,00;0,00;0;0;United States;Northern America;"";"1996-1998, 2001-2002, 2004-2021, 2023";"Hardware and Architecture";"Computer Science"
1081;26200;"Canadian Journal of Electrical and Computer Engineering";journal;"08408688";0,404;Q3;31;0;63;0;150;61;1,97;0,00;0,00;0;0;Canada;Northern America;"IEEE Canada";"1988-2010, 2013-2020";"Electrical and Electronic Engineering (Q3); Hardware and Architecture (Q3)";"Computer Science; Engineering"
1082;25022;"IEEE Pervasive Computing";journal;"15361268";0,404;Q3;108;49;133;845;236;121;1,87;17,24;33,14;0;4;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"2002-2023";"Computational Theory and Mathematics (Q3); Computer Science Applications (Q3); Software (Q3)";"Computer Science"
1083;5400152714;"IET Software";journal;"17518806, 17518814";0,404;Q2;48;38;174;1954;372;168;2,21;51,42;29,71;0;2;United Kingdom;Western Europe;"John Wiley &amp; Sons Inc.";"2007-2023";"Computer Graphics and Computer-Aided Design (Q2)";"Computer Science"
1084;15583;"New Generation Computing";journal;"02883635, 18827055";0,404;Q3;31;53;93;1958;236;83;3,22;36,94;20,13;0;10;Japan;Asiatic Region;"Springer Japan";"1983-2023";"Computer Networks and Communications (Q3); Hardware and Architecture (Q3); Software (Q3); Theoretical Computer Science (Q3)";"Computer Science; Mathematics"
1085;21100901206;"IAES International Journal of Artificial Intelligence";journal;"20894872, 22528938";0,402;Q3;22;166;264;5561;762;264;2,89;33,50;33,84;0;47;Indonesia;Asiatic Region;"Institute of Advanced Engineering and Science (IAES)";"2018-2023";"Information Systems and Management (Q2); Artificial Intelligence (Q3); Control and Systems Engineering (Q3); Electrical and Electronic Engineering (Q3)";"Computer Science; Decision Sciences; Engineering"
1086;19271;"International Journal on Software Tools for Technology Transfer";journal;"14332779, 14332787";0,402;Q3;59;51;134;2312;269;126;2,20;45,33;13,22;0;3;Germany;Western Europe;"Springer Verlag";"1997-2023";"Information Systems (Q3); Software (Q3)";"Computer Science"
1087;5800213394;"Information and Communications Technology Law";journal;"13600834";0,400;Q3;22;18;56;0;125;52;1,45;0,00;34,78;3;6;United Kingdom;Western Europe;"Routledge";"1992-2001, 2003-2023";"Law (Q1); Communication (Q2); Computer Science Applications (Q3)";"Computer Science; Social Sciences"
1088;21100242605;"International Journal of Pervasive Computing and Communications";journal;"1742738X, 17427371";0,400;Q2;23;72;82;2333;289;78;3,82;32,40;27,52;0;27;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"2005, 2007-2023";"Computer Science (miscellaneous) (Q2); Theoretical Computer Science (Q3)";"Computer Science; Mathematics"
1089;28325;"International Journal of Parallel Programming";journal;"08857458";0,399;Q3;40;21;150;834;253;139;1,63;39,71;10,81;0;1;United States;Northern America;"Springer New York";"1986-1992, 1994-2023";"Information Systems (Q3); Software (Q3); Theoretical Computer Science (Q3)";"Computer Science; Mathematics"
1090;147203;"Design Journal";journal;"14606925";0,398;Q3;29;59;345;2271;369;315;1,08;38,49;58,82;0;13;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2005-2023";"Arts and Humanities (miscellaneous) (Q2); Computer Graphics and Computer-Aided Design (Q3)";"Arts and Humanities; Computer Science"
1091;21100223313;"Journal of Information Hiding and Multimedia Signal Processing";journal;"20734239, 20734212";0,398;Q3;30;20;86;551;158;85;2,72;27,55;18,52;0;0;Taiwan;Asiatic Region;"Taiwan Ubiquitous Information";"2010-2023";"Computer Vision and Pattern Recognition (Q3); Software (Q3)";"Computer Science"
1092;19900193674;"Applied Ontology";journal;"18758533, 15705838";0,397;Q2;34;19;50;1127;82;49;1,41;59,32;29,85;0;1;Netherlands;Western Europe;"IOS Press BV";"2005-2023";"Linguistics and Language (Q1); Computer Science (miscellaneous) (Q2)";"Computer Science; Social Sciences"
1093;24142;"Artificial Life";journal;"10645462, 15309185";0,397;Q3;63;38;67;1642;222;65;4,00;43,21;19,75;0;1;United States;Northern America;"MIT Press Journals";"1995, 1997-2023";"Artificial Intelligence (Q3); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q3); Ecology, Evolution, Behavior and Systematics (Q3)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Computer Science"
1094;21101101247;"Engineering Reports";journal;"25778196";0,397;Q2;24;104;373;4147;967;372;2,63;39,88;21,65;0;20;United States;Northern America;"John Wiley and Sons Inc.";"2019-2023";"Computer Science (miscellaneous) (Q2); Engineering (miscellaneous) (Q2)";"Computer Science; Engineering"
1095;21100873335;"Journal of Control and Decision";journal;"23307714, 23307706";0,396;Q3;21;59;79;1931;140;79;1,50;32,73;25,60;0;2;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2014-2023";"Artificial Intelligence (Q3); Computer Networks and Communications (Q3); Control and Optimization (Q3); Control and Systems Engineering (Q3); Human-Computer Interaction (Q3); Information Systems (Q3); Signal Processing (Q3)";"Computer Science; Engineering; Mathematics"
1096;21100204120;"Journal of Analytical Methods in Chemistry";journal;"20908873, 20908865";0,395;Q3;38;84;324;3314;896;324;2,57;39,45;43,69;0;19;United States;Northern America;"Hindawi Publishing Corporation";"2012-2023";"Chemical Engineering (miscellaneous) (Q2); Analytical Chemistry (Q3); Computer Science Applications (Q3); Instrumentation (Q3)";"Chemical Engineering; Chemistry; Computer Science; Physics and Astronomy"
1097;18200;"International Journal of Numerical Modelling: Electronic Networks, Devices and Fields";journal;"08943370, 10991204";0,393;Q3;35;99;412;3400;768;404;1,97;34,34;24,00;0;18;United Kingdom;Western Europe;"John Wiley and Sons Ltd";"1988-2023";"Computer Science Applications (Q3); Electrical and Electronic Engineering (Q3); Modeling and Simulation (Q3)";"Computer Science; Engineering; Mathematics"
1098;29676;"Quantum Information and Computation";journal;"15337146";0,393;Q3;75;33;106;974;133;106;1,10;29,52;15,85;0;0;United States;Northern America;"Rinton Press Inc.";"2001-2023";"Physics and Astronomy (miscellaneous) (Q2); Computational Theory and Mathematics (Q3); Mathematical Physics (Q3); Nuclear and High Energy Physics (Q3); Statistical and Nonlinear Physics (Q3); Theoretical Computer Science (Q3)";"Computer Science; Mathematics; Physics and Astronomy"
1099;26138;"Parallel Computing";journal;"01678191";0,392;Q3;71;51;185;1865;269;173;1,56;36,57;18,11;0;7;Netherlands;Western Europe;"Elsevier B.V.";"1984-2023";"Artificial Intelligence (Q3); Computer Graphics and Computer-Aided Design (Q3); Computer Networks and Communications (Q3); Hardware and Architecture (Q3); Software (Q3); Theoretical Computer Science (Q3)";"Computer Science; Mathematics"
1100;18300156706;"Electronic News";journal;"1931244X, 19312431";0,391;Q3;17;12;33;621;34;33;1,00;51,75;37,93;0;4;United States;Northern America;"Routledge";"2009-2023";"Communication (Q2); Information Systems (Q3)";"Computer Science; Social Sciences"
1101;19700183008;"TripleC";journal;"1726670X";0,391;Q3;32;12;83;780;125;83;1,51;65,00;23,81;0;5;Austria;Western Europe;"Unified Theory of Information Research Group";"2010-2023";"Communication (Q2); Computer Science Applications (Q3)";"Computer Science; Social Sciences"
1102;21100826927;"Human Technology";journal;"17956889";0,390;Q3;14;17;51;1007;128;49;2,30;59,24;37,50;0;9;Finland;Western Europe;"Centre of Sociological Research";"2016-2023";"Communication (Q2); Human-Computer Interaction (Q3); Social Psychology (Q3)";"Computer Science; Psychology; Social Sciences"
1103;21100899523;"International Journal of Aerospace Psychology";journal;"24721832, 24721840";0,390;Q3;52;17;50;823;78;47;1,61;48,41;51,35;1;4;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2017-2023";"Aerospace Engineering (Q2); Education (Q2); Applied Psychology (Q3); Computer Science Applications (Q3)";"Computer Science; Engineering; Psychology; Social Sciences"
1104;21100197345;"Journal of Robotics and Mechatronics";journal;"18838049, 09153942";0,390;Q2;39;157;358;3689;454;341;1,32;23,50;10,61;0;19;Japan;Asiatic Region;"Fuji Technology Press";"1989-2023";"Computer Science (miscellaneous) (Q2); Electrical and Electronic Engineering (Q3)";"Computer Science; Engineering"
1105;12991;"RAIRO - Operations Research";journal;"12903868, 03990559";0,390;Q3;36;215;522;8922;1003;521;1,87;41,50;31,56;0;48;France;Western Europe;"EDP Sciences";"1977-1978, 1995-2023";"Computer Science Applications (Q3); Management Science and Operations Research (Q3); Theoretical Computer Science (Q3)";"Computer Science; Decision Sciences; Mathematics"
1106;21100283367;"International Journal of Prognostics and Health Management";journal;"21532648";0,389;Q2;29;20;77;1047;134;75;1,63;52,35;17,11;0;5;United States;Northern America;"PHM Society";"2010-2023";"Computer Science (miscellaneous) (Q2); Safety, Risk, Reliability and Quality (Q2); Civil and Structural Engineering (Q3); Energy Engineering and Power Technology (Q3); Mechanical Engineering (Q3)";"Computer Science; Energy; Engineering"
1107;21101054454;"Medicine in Novel Technology and Devices";journal;"25900935";0,389;Q3;13;87;84;4679;228;83;2,29;53,78;39,78;0;19;Netherlands;Western Europe;"Elsevier B.V.";"2019-2023";"Biomedical Engineering (Q3); Computer Science Applications (Q3); Medicine (miscellaneous) (Q3)";"Computer Science; Engineering; Medicine"
1108;12170;"Modeling, Identification and Control";journal;"03327353, 18901328";0,389;Q3;31;12;49;271;86;49;2,00;22,58;5,26;0;3;Norway;Western Europe;"Research Council of Norway";"1980-1989, 1996-2023";"Computer Science Applications (Q3); Control and Systems Engineering (Q3); Modeling and Simulation (Q3); Software (Q3)";"Computer Science; Engineering; Mathematics"
1109;21100455650;"Development Engineering";journal;"23527285";0,388;Q3;17;14;47;808;109;45;1,88;57,71;39,53;1;13;United Kingdom;Western Europe;"Elsevier Ltd";"2015-2023";"Development (Q2); Economics, Econometrics and Finance (miscellaneous) (Q2); Engineering (miscellaneous) (Q2); Computer Science Applications (Q3)";"Computer Science; Economics, Econometrics and Finance; Engineering; Social Sciences"
1110;14388;"Information Processing Letters";journal;"00200190";0,388;Q3;83;83;262;1445;245;261;0,78;17,41;14,53;0;1;Netherlands;Western Europe;"Elsevier B.V.";"1971-2024";"Computer Science Applications (Q3); Information Systems (Q3); Signal Processing (Q3); Theoretical Computer Science (Q3)";"Computer Science; Mathematics"
1111;21100857172;"Computation";journal;"20793197";0,386;Q2;30;221;316;9168;816;313;2,43;41,48;28,71;0;50;Switzerland;Western Europe;"Multidisciplinary Digital Publishing Institute (MDPI)";"2013-2023";"Computer Science (miscellaneous) (Q2); Applied Mathematics (Q3); Modeling and Simulation (Q3); Theoretical Computer Science (Q3)";"Computer Science; Mathematics"
1112;110565;"IEEE International Conference on Fuzzy Systems";conference and proceedings;"10987584";0,386;-;66;156;672;4480;818;666;1,15;28,72;25,60;0;17;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"1994-2009, 2011-2015, 2017-2022";"Applied Mathematics; Artificial Intelligence; Software; Theoretical Computer Science";"Computer Science; Mathematics"
1113;17932;"Integration, the VLSI Journal";journal;"01679260";0,386;Q3;46;103;339;3505;678;338;2,32;34,03;24,37;0;8;Netherlands;Western Europe;"Elsevier B.V.";"1983-2024";"Electrical and Electronic Engineering (Q3); Hardware and Architecture (Q3); Software (Q3)";"Computer Science; Engineering"
1114;19700175219;"Iranian Journal of Fuzzy Systems";journal;"17350654";0,385;Q3;37;76;237;2734;405;237;1,74;35,97;25,95;0;5;Iran;Middle East;"University of Sistan and Baluchestan";"2004-2023";"Information Systems and Management (Q2); Mathematics (miscellaneous) (Q2); Artificial Intelligence (Q3); Computer Science Applications (Q3)";"Computer Science; Decision Sciences; Mathematics"
1115;21100466404;"Cogent Engineering";journal;"23311916";0,384;Q2;42;260;536;13004;1310;533;2,45;50,02;25,81;0;123;United Kingdom;Western Europe;"Cogent OA";"2014-2023";"Chemical Engineering (miscellaneous) (Q2); Computer Science (miscellaneous) (Q2); Engineering (miscellaneous) (Q2)";"Chemical Engineering; Computer Science; Engineering"
1116;21100203301;"Journal of Information Processing Systems";journal;"2092805X, 1976913X";0,384;Q3;31;68;309;1420;561;309;1,76;20,88;32,16;0;8;South Korea;Asiatic Region;"Korea Information Processing Society (KIPS)";"2012-2023";"Information Systems (Q3); Software (Q3)";"Computer Science"
1117;23670;"Annals of Mathematics and Artificial Intelligence";journal;"15737470, 10122443";0,383;Q3;59;54;146;1745;213;135;1,34;32,31;16,67;0;6;Netherlands;Western Europe;"Springer Netherlands";"1990-2023";"Applied Mathematics (Q3); Artificial Intelligence (Q3)";"Computer Science; Mathematics"
