paper,poster_session,project_page,url,keywords,authors
Direct2.5: Diverse Text-to-3D Generation via Multi-view 2.5D Diffusion,Poster Session 2,Yes,https://nju-3dv.github.io/projects/direct25/,3d generation,"Yuanxun Lu, Jingyang Zhang, Shiwei Li, Tian Fang, David McKinnon, Yanghai Tsin, Long Quan, Xun Cao, Yao Yao"
GaussianEditor: Swift and Controllable 3D Editing with Gaussian Splatting,Poster Session 5,No,,gaussian splatting,"Yiwen Chen, Zilong Chen, Chi Zhang, Feng Wang, Xiaofeng Yang, Yikai Wang, Zhongang Cai, Lei Yang, Huaping Liu, Guosheng Lin"
Panacea: Panoramic and Controllable Video Generation for Autonomous Driving,Poster Session 2,No,,"video generation,pano","Yuqing Wen, Yucheng Zhao, Yingfei Liu, Fan Jia, Yanhui Wang, Chong Luo, Chi Zhang, Tiancai Wang, Xiaoyan Sun, Xiangyu Zhang"
Multi-Modal Proxy Learning Towards Personalized Visual Multiple Clustering,Poster Session 3,Yes,https://github.com/Alexander-Yao/Multi-MaP,personalized,"Jiawei Yao, Qi Qian, Juhua Hu"
HumanNeRF-SE: A Simple yet Effective Approach to Animate HumanNeRF with Diverse Poses,Poster Session 1,No,,nerf,"Caoyuan Ma, Yu-Lun Liu, Zhixiang Wang, Wu Liu, Xinchen Liu, Zheng Wang"
Taming Mode Collapse in Score Distillation for Text-to-3D Generation,Poster Session 2,No,,3d generation,"Peihao Wang, Dejia Xu, Zhiwen Fan, Dilin Wang, Sreyas Mohan, Forrest Iandola, Rakesh Ranjan, Yilei Li, Qiang Liu, Zhangyang Wang, Vikas Chandra"
PanoContext-Former: Panoramic Total Scene Understanding with a Transformer,Poster Session 6,Yes,https://fangchuan.github.io/PanoContext-Former/,pano,"Yuan Dong, Chuan Fang, Liefeng Bo, Zilong Dong, Ping Tan"
Tailored Visions: Enhancing Text-to-Image Generation with Personalized Prompt Rewriting,Poster Session 2,Yes,https://github.com/zzjchen/Tailored-Visions,personalized,"Zijie Chen, Lichao Zhang, Fangsheng Weng, Lili Pan, ZHENZHONG Lan"
Entity-NeRF: Detecting and Removing Moving Entities in Urban Scenes,Poster Session 5,No,,nerf,"Takashi Otonari, Satoshi Ikehata, Kiyoharu Aizawa"
GauHuman: Articulated Gaussian Splatting from Monocular Human Videos,Poster Session 5,No,,gaussian splatting,"Shoukang Hu, Tao Hu, Ziwei Liu"
FlowVid: Taming Imperfect Optical Flows for Consistent Video-to-Video Synthesis,Poster Session 2,No,,video synthesis,"Feng Liang, Bichen Wu, Jialiang Wang, Licheng Yu, Kunpeng Li, Yinan Zhao, Ishan Misra, Jia-Bin Huang, Peizhao Zhang, Peter Vajda, Diana Marculescu"
COLMAP-Free 3D Gaussian Splatting,Poster Session 5,No,,gaussian splatting,"Yang Fu, Sifei Liu, Amey Kulkarni, Jan Kautz, Alexei A. Efros, Xiaolong Wang"
MVIP-NeRF: Multi-view 3D Inpainting on NeRF Scenes via Diffusion Prior,Poster Session 2,No,,nerf,"Honghua Chen, Chen Change Loy, Xingang Pan"
GPS-Gaussian: Generalizable Pixel-wise 3D Gaussian Splatting for Real-time Human Novel View Synthesis,Poster Session 5,Yes,https://shunyuanzheng.github.io/GPS-Gaussian,gaussian splatting,"Shunyuan Zheng, Boyao ZHOU, Ruizhi Shao, Boning Liu, Shengping Zhang, Liqiang Nie, Yebin Liu"
NeRFiller: Completing Scenes via Generative 3D Inpainting,Poster Session 5,Yes,https://ethanweber.me/nerfiller/,nerf,"Ethan Weber, Aleksander Holynski, Varun Jampani, Saurabh Saxena, Noah Snavely, Abhishek Kar, Angjoo Kanazawa"
FreGS: 3D Gaussian Splatting with Progressive Frequency Regularization,Poster Session 5,No,,gaussian splatting,"Jiahui Zhang, Fangneng Zhan, MUYU XU, Shijian Lu, Eric P. Xing"
PEGASUS: Personalized Generative 3D Avatars with Composable Attributes,Poster Session 1,No,,personalized,"Hyunsoo Cha, Byungjun Kim, Hanbyul Joo"
GenTron: Diffusion Transformers for Image and Video Generation,Poster Session 2,No,,video generation,"Shoufa Chen, Mengmeng Xu, Jiawei Ren, Yuren Cong, Sen He, Yanping Xie, Animesh Sinha, Ping Luo, Tao Xiang, Juan-Manuel Pérez-Rúa"
SuGaR: Surface-Aligned Gaussian Splatting for Efficient 3D Mesh Reconstruction and High-Quality Mesh Rendering,Poster Session 2,Yes,https://anttwo.github.io/sugar/,gaussian splatting,"Antoine Guédon, Vincent Lepetit"
Towards Effective Usage of Human-Centric Priors in Diffusion Models for Text-based Human Image Generation,Poster Session 2,No,,human-centric,"Junyan Wang, Zhenhong Sun, Stewart Tan, Xuanbai Chen, Weihua Chen, li, Cheng Zhang, Yang Song"
EvalCrafter: Benchmarking and Evaluating Large Video Generation Models,Poster Session 5,No,,video generation,"Yaofang Liu, Xiaodong Cun, Xuebo Liu, Xintao Wang, Yong Zhang, Haoxin Chen, Yang Liu, Tieyong Zeng, Raymond Chan, Ying Shan"
ESR-NeRF: Emissive Source Reconstruction Using LDR Multi-view Images,Poster Session 1,No,,nerf,"Jinseo Jeong, Junseo Koo, Qimeng Zhang, Gunhee Kim"
Unlocking the Potential of Prompt-Tuning in Bridging Generalized and Personalized Federated Learning,Poster Session 2,No,,personalized,"wenlong deng, Christos Thrampoulidis, Xiaoxiao Li"
PaSCo: Urban 3D Panoptic Scene Completion with Uncertainty Awareness,Poster Session 4,Yes,https://astra-vision.github.io/PaSCo/,pano,"Anh-Quan Cao, Angela Dai, Raoul de Charette"
NeRF On-the-go: Exploiting Uncertainty for Distractor-free NeRFs in the Wild,Poster Session 2,Yes,https://rwn17.github.io/nerf-on-the-go,nerf,"Weining Ren, Zihan Zhu, Boyang Sun, Jiaqi Chen, Marc Pollefeys, Songyou Peng"
Grid Diffusion Models for Text-to-Video Generation,Poster Session 2,Yes,https://taegyeong-lee.github.io/text2video,video generation,"Taegyeong Lee, Soyeong Kwon, Taehwan Kim"
GS-IR: 3D Gaussian Splatting for Inverse Rendering,Poster Session 5,No,,gaussian splatting,"Zhihao Liang, Qi Zhang, Ying Feng, Ying Shan, Kui Jia"
Personalized Residuals for Concept-Driven Text-to-Image Generation,Poster Session 2,No,,personalized,"Cusuh Ham, Matthew Fisher, James Hays, Nicholas Kolkin, Yuchen Liu, Richard Zhang, Tobias Hinz"
Lookahead Exploration with Neural Radiance Representation for Continuous Vision-Language Navigation,Poster Session 3,Yes,https://github.com/MrZihan/HNR-VLN,neural radiance,"Zihan Wang, Xiangyang Li, Jiahao Yang, Yeqi Liu, Junjie Hu, Ming Jiang, Shuqiang Jiang"
SOAC: Spatio-Temporal Overlap-Aware Multi-Sensor Calibration using Neural Radiance Fields,Poster Session 4,No,,neural radiance,"Quentin HERAU, Nathan Piasco, Moussab Bennehar, Luis Guiller,o Roldao Jimenez, Dzmitry Tsishkou, MigniotCyrille, Modélisation Information Systèmes, Cedric Demonceaux"
LAENeRF: Local Appearance Editing for Neural Radiance Fields,Poster Session 2,Yes,https://r4dl.github.io/LAENeRF/,"nerf,neural radiance","Lukas Radl, Michael Steiner, Andreas Kurz, Markus Steinberger"
GS-SLAM: Dense Visual SLAM with 3D Gaussian Splatting,Poster Session 5,Yes,https://gs-slam.github.io/,gaussian splatting,"Chi Yan, Delin Qu, Dong Wang, Dan Xu, Zhigang Wang, Bin Zhao, Xuelong Li"
Multi-Scale 3D Gaussian Splatting for Anti-Aliased Rendering,Poster Session 5,No,,gaussian splatting,"Zhiwen Yan, Weng Fei Low, Yu Chen, Gim Hee Lee"
Bayes' Rays: Uncertainty Quantification for Neural Radiance Fields,Poster Session 5,No,,neural radiance,"Leili Goli, Cody Reading, Silvia Sellán, Alec Jacobson, Andrea Tagliasacchi"
Is Vanilla MLP in Neural Radiance Field Enough for Few-shot View Synthesis?,Poster Session 5,No,,neural radiance,"Hanxin Zhu, Tianyu He, Xin Li, Bingchen Li, Zhibo Chen"
SANeRF-HQ: Segment Anything for NeRF in High Quality,Poster Session 1,No,,nerf,"Yichen Liu, Benran Hu, Chi-Keung Tang, Yu-Wing Tai"
G-NeRF: Geometry-enhanced Novel View Synthesis from Single-View Images,Poster Session 3,Yes,https://llrtt.github.io/G-NeRF-Demo/,nerf,"Zixiong Huang, Qi Chen, Libo Sun, Yifan Yang, Naizhou Wang, Qi Wu, Mingkui Tan"
ExtraNeRF: Visibility-Aware View Extrapolation of Neural Radiance Fields with Diffusion Models,Poster Session 5,No,,"nerf,neural radiance","Meng-Li Shih, Wei-Chiu Ma, Lorenzo Boyice, Aleksander Holynski, Forrester Cole, Brian Curless, Janne Kontkanen"
StrokeFaceNeRF: Stroke-based Facial Appearance Editing in Neural Radiance Field,Poster Session 2,No,,"nerf,neural radiance","Xiao-juan Li, Dingxi Zhang, Shu-Yu Chen, Feng-Lin Liu"
ProxyCap: Real-time Monocular Full-body Capture in World Space via Human-Centric Proxy-to-Motion Learning,Poster Session 1,Yes,https://zhangyux15.github.io/ProxyCapV2,human-centric,"Yuxiang Zhang, Hongwen Zhang, Liangxiao Hu, Jiajun Zhang, Hongwei Yi, Shengping Zhang, Yebin Liu"
Feature 3DGS: Supercharging 3D Gaussian Splatting to Enable Distilled Feature Fields,Poster Session 5,Yes,https://feature-3dgs.github.io/,gaussian splatting,"Shijie Zhou, Haoran Chang, Sicheng Jiang, Zhiwen Fan, Zehao Zhu, Dejia Xu, Pradyumna Chari, Suya You, Zhangyang Wang, Achuta Kadambi"
GenN2N: Generative NeRF2NeRF Translation,Poster Session 2,No,,nerf,"Xiangyue Liu, Han Xue, Kunming Luo, Ping Tan, Li Yi"
Gear-NeRF: Free-Viewpoint Rendering and Tracking with Motion-aware Spatio-Temporal Sampling,Poster Session 5,No,,nerf,"Xinhang Liu, Yu-Wing Tai, Chi-Keung Tang, Pedro Miraldo, Suhas Lohit, Moitreya Chatterjee"
DreamControl: Control-Based Text-to-3D Generation with 3D Self-Prior,Poster Session 2,Yes,https://github.com/tyhuang0428/DreamControl,3d generation,"Tianyu Huang, Yihan Zeng, Zhilu Zhang, Wan Xu, Hang Xu, Songcen Xu, Rynson W.H. Lau, Wangmeng Zuo"
InNeRF360: Text-Guided 3D-Consistent Object Inpainting on 360-degree Neural Radiance Fields,Poster Session 3,No,,"nerf,neural radiance","Dongqing Wang, Tong Zhang, Alaa Abboud, Sabine Süsstrunk"
LAMP: Learn A Motion Pattern for Few-Shot Video Generation,Poster Session 2,Yes,https://rq-wu.github.io/projects/LAMP/index.html,video generation,"Rui-Qi Wu, Liangyu Chen, Tong Yang, Chun-Le Guo, Chongyi Li, Xiangyu Zhang"
Diffusion Time-step Curriculum for One Image to 3D Generation,Poster Session 3,No,,3d generation,"YI Xuanyu, Zike Wu, Qingshan Xu, Pan Zhou, Joo Lim, Hanwang Zhang"
Language-driven Object Fusion into Neural Radiance Fields with Pose-Conditioned Dataset Updates,Poster Session 2,Yes,https://github.com/kcshum/pose-conditioned-NeRF-object-fusion,neural radiance,"Ka Chun SHUM, Jaeyeon Kim, Binh-Son Hua, Thanh Nguyen, Sai-Kit Yeung"
